dest_npa_data_fv_stats_view__dti,dest_npa_data_fv_stats_view__term,dest_npa_data_fv_stats_view__grade,dest_npa_data_fv_stats_view__purpose,dest_npa_data_fv_stats_view__int_rate,dest_npa_data_fv_stats_view__zip_code,dest_npa_data_fv_stats_view__loan_amnt,dest_npa_data_fv_stats_view__sub_grade,dest_npa_data_fv_stats_view__total_acc,dest_npa_data_fv_stats_view__addr_state,dest_npa_data_fv_stats_view__annual_inc,dest_npa_data_fv_stats_view__recoveries,dest_npa_data_fv_stats_view__revol_util,dest_npa_data_fv_stats_view__tot_cur_bal,dest_npa_data_fv_stats_view__tot_coll_amt,dest_npa_data_fv_stats_view__last_week_pay,dest_npa_data_fv_stats_view__total_rec_int,dest_npa_data_fv_stats_view__batch_enrolled,dest_npa_data_fv_stats_view__home_ownership,dest_npa_data_fv_stats_view__total_rev_hi_lim,dest_npa_data_fv_stats_view__initial_list_status
23.0,36 months,B,debt_consolidation,11.67,554xx,13000,B4,26,MN,42000.0,0.0,71.1,59861.0,0.0,83th week,1872.24, ,RENT,17500.0,f
1.69,60 months,D,home_improvement,16.99,543xx,13000,D3,14,WI,93000.0,0.0,23.6,7836.0,609.0,31th week,1233.83, ,MORTGAGE,11200.0,w
18.15,60 months,A,credit_card,7.89,144xx,24000,A5,60,NY,90000.0,0.0,7.0,98401.0,0.0,39th week,1346.17,BAT5924421,MORTGAGE,125500.0,w
20.77,36 months,B,debt_consolidation,9.17,322xx,9900,B1,18,FL,49000.0,0.0,59.7,43180.0,103.0,78th week,1069.42,BAT3193689,RENT,10700.0,f
18.25,36 months,A,debt_consolidation,7.89,438xx,9600,A5,21,OH,35900.0,0.0,88.3,24815.0,0.0,9th week,120.47, ,RENT,28100.0,w
24.64,60 months,C,medical,15.61,452xx,10000,C4,35,OH,45000.0,0.0,45.1,38983.0,0.0,100th week,2590.87, ,RENT,10600.0,f
21.12,36 months,D,debt_consolidation,19.72,760xx,13200,D5,17,TX,45000.0,1350.8,72.3,34450.0,0.0,100th week,3713.6,BAT5341619,RENT,19100.0,f
21.58,36 months,B,debt_consolidation,9.17,841xx,21000,B2,16,UT,65000.0,0.0,80.0,173266.0,0.0,31th week,1013.85,BAT1184694,OWN,27000.0,f
33.67,36 months,E,debt_consolidation,20.8,208xx,35000,E1,19,MD,100900.0,0.0,81.5,33993.0,0.0,109th week,10703.47,BAT5525466,OWN,36641.0,f
18.28,36 months,A,credit_card,7.89,775xx,7200,A5,45,TX,56000.0,0.0,38.7,120336.0,406.0,39th week,380.13,BAT1104812,OWN,22500.0,w
3.98,36 months,B,debt_consolidation,12.69,335xx,4200,B5,10,FL,35000.0,0.0,66.0,139554.110791886,213.562221669413,9th week,87.73,BAT5046385,MORTGAGE,32080.5729185358,f
11.36,36 months,A,home_improvement,8.9,947xx,11975,A5,17,CA,116000.0,0.0,45.5,501252.0,0.0,122th week,1613.74,BAT4351734,MORTGAGE,25700.0,f
24.34,36 months,B,debt_consolidation,12.12,100xx,12000,B3,20,NY,60000.0,0.0,65.6,70553.0,0.0,52th week,1046.91,BAT5811547,MORTGAGE,34200.0,f
15.08,36 months,A,credit_card,5.32,078xx,9000,A1,13,NJ,39000.0,0.0,65.1,130058.0,0.0,26th week,183.89,BAT3873588,MORTGAGE,17500.0,w
23.96,36 months,D,debt_consolidation,16.55,350xx,16800,D2,26,AL,40000.0,0.0,61.5,134152.0,0.0,17th week,865.55,BAT4271519,MORTGAGE,38100.0,w
15.16,36 months,A,credit_card,6.39,405xx,28000,A2,27,KY,115000.0,0.0,30.6,218240.0,0.0,44th week,1309.05,BAT4136152,OWN,76100.0,f
13.17,36 months,B,credit_card,10.99,467xx,8000,B2,37,IN,93000.0,0.0,61.3,114264.0,0.0,113th week,1299.33,BAT2575549,MORTGAGE,31500.0,f
16.18,60 months,E,debt_consolidation,20.99,078xx,35000,E5,29,NJ,120000.0,0.0,67.8,280406.0,0.0,26th week,2960.69, ,MORTGAGE,13400.0,w
22.84,60 months,E,debt_consolidation,19.19,410xx,11550,E3,17,KY,33000.0,0.0,34.0,18619.0,0.0,26th week,1030.14, ,RENT,24030.0,w
17.14,36 months,A,debt_consolidation,7.89,441xx,7500,A5,22,OH,49859.0,0.0,40.7,137439.0,0.0,44th week,426.8, ,MORTGAGE,40300.0,w
12.98,36 months,A,credit_card,8.9,060xx,35000,A5,31,CT,90000.0,0.0,44.6,347836.0,0.0,65th week,3256.55, ,MORTGAGE,79000.0,f
12.6,36 months,C,major_purchase,13.67,761xx,15000,C4,38,TX,49500.0,0.0,26.1,12901.0,0.0,4th week,159.48,BAT2803411,MORTGAGE,18400.0,w
26.66,36 months,A,credit_card,7.12,873xx,21000,A3,48,NM,97102.0,0.0,18.5,270481.0,0.0,70th week,1609.26,BAT2333412,MORTGAGE,78500.0,f
34.32,60 months,E,debt_consolidation,19.19,807xx,14400,E3,25,CO,40000.0,0.0,88.5,37755.0,0.0,13th week,496.63,BAT2252229,RENT,31100.0,w
8.98,36 months,D,other,13.55,770xx,4000,D4,15,TX,56004.0,0.0,96.5,139554.110791886,213.562221669413,156th week,890.03,BAT2143459,OTHER,32080.5729185358,f
22.01,36 months,B,debt_consolidation,11.99,445xx,26600,B3,34,OH,85000.0,0.0,42.3,77765.0,0.0,17th week,529.94,BAT5629144,MORTGAGE,73100.0,w
9.25,36 months,A,debt_consolidation,7.9,064xx,6000,A4,34,CT,55681.0,0.0,24.9,12430.0,9315.0,100th week,649.81, ,RENT,19200.0,w
13.71,36 months,B,debt_consolidation,9.71,208xx,15000,B1,36,MD,85000.0,0.0,38.6,259449.0,0.0,104th week,2095.77,BAT2833642,MORTGAGE,51185.0,f
16.03,36 months,F,debt_consolidation,19.04,941xx,25000,F3,3,CA,95000.0,0.0,99.4,139554.110791886,213.562221669413,157th week,7977.35, ,RENT,32080.5729185358,f
2.87,36 months,B,major_purchase,9.99,061xx,7500,B4,6,CT,27168.0,0.0,14.6,139554.110791886,213.562221669413,91th week,916.51,BAT5597801,OWN,32080.5729185358,f
13.35,60 months,G,small_business,27.31,208xx,35000,G2,18,MD,124000.0,0.0,83.3,48532.0,0.0,13th week,1533.64, ,RENT,23300.0,w
33.3,36 months,D,debt_consolidation,16.29,396xx,35000,D2,45,MS,84498.0,0.0,86.8,225574.0,0.0,87th week,7371.88, ,MORTGAGE,65900.0,w
15.69,36 months,D,debt_consolidation,16.99,310xx,11800,D3,27,GA,73500.0,0.0,47.7,101101.0,634.0,17th week,635.39, ,MORTGAGE,8600.0,w
29.33,60 months,D,debt_consolidation,15.61,853xx,15000,D1,22,AZ,55806.4,0.0,96.2,241233.0,97.0,74th week,3002.42, ,MORTGAGE,34200.0,w
16.53,36 months,C,debt_consolidation,13.35,900xx,27000,C2,15,CA,80000.0,0.0,66.9,74203.0,0.0,61th week,3535.18, ,RENT,41100.0,f
12.51,36 months,D,debt_consolidation,16.55,342xx,9600,D2,21,FL,52000.0,0.0,66.7,152931.0,0.0,44th week,1172.57, ,MORTGAGE,12200.0,w
20.17,36 months,A,debt_consolidation,7.9,240xx,12000,A4,45,VA,74130.0,0.0,57.0,375877.0,0.0,91th week,1194.07,BAT1766061,MORTGAGE,34300.0,w
10.17,36 months,A,credit_card,8.39,222xx,20000,A5,37,VA,110000.0,0.0,60.6,265564.0,300.0,65th week,1780.61,BAT2333412,MORTGAGE,57900.0,f
22.46,36 months,B,credit_card,8.18,331xx,12000,B1,21,FL,60000.0,0.0,45.6,270022.0,0.0,17th week,304.16,BAT4271519,MORTGAGE,38500.0,f
14.56,36 months,B,debt_consolidation,9.99,108xx,20000,B3,16,NY,74000.0,0.0,25.2,25184.0,0.0,17th week,614.2,BAT4271519,RENT,45400.0,f
23.29,36 months,B,debt_consolidation,10.99,207xx,8500,B3,23,MD,35000.0,0.0,86.3,16450.0,0.0,35th week,622.67, ,RENT,9900.0,f
19.33,36 months,C,credit_card,13.99,666xx,22300,C4,20,KS,48500.0,0.0,89.7,32032.0,0.0,44th week,2310.72, ,RENT,35700.0,w
18.67,36 months,B,debt_consolidation,10.49,303xx,7800,B3,71,GA,120000.0,0.0,33.7,7775.0,0.0,39th week,284.71, ,RENT,21500.0,f
29.03,36 months,A,debt_consolidation,6.62,788xx,11000,A2,21,TX,34600.0,0.0,93.8,104011.0,0.0,122th week,1091.9,BAT4351734,MORTGAGE,21500.0,f
8.5,36 months,A,debt_consolidation,5.32,200xx,11000,A1,14,DC,83000.0,0.0,53.8,26026.0,0.0,9th week,112.54,BAT2252229,RENT,18800.0,w
14.06,36 months,D,car,16.59,951xx,10375,D2,22,CA,55000.0,0.0,22.5,26939.0,0.0,NAth week,0.0, ,RENT,22100.0,w
6.78,60 months,A,credit_card,7.89,773xx,24000,A5,17,TX,85000.0,0.0,59.7,260981.0,0.0,4th week,147.28,BAT1586599,OWN,31900.0,f
27.88,36 months,C,other,12.29,988xx,8000,C1,16,WA,48000.0,0.0,23.8,105672.0,0.0,39th week,662.11,BAT1104812,MORTGAGE,19700.0,w
33.3,60 months,C,debt_consolidation,13.99,486xx,10000,C4,32,MI,43000.0,0.0,66.0,88876.0,0.0,13th week,367.63,BAT1104812,MORTGAGE,15700.0,w
15.51,36 months,C,debt_consolidation,12.69,770xx,11000,C2,21,TX,52000.0,0.0,56.2,121516.0,0.0,43th week,1031.79,BAT5924421,OWN,21100.0,f
24.98,36 months,A,debt_consolidation,5.32,553xx,21600,A1,44,MN,120000.0,0.0,31.1,114533.0,0.0,26th week,531.07, ,RENT,60200.0,f
9.25,36 months,C,other,14.98,936xx,19500,C3,32,CA,106000.0,0.0,43.8,347299.0,0.0,100th week,4106.1, ,MORTGAGE,33900.0,w
21.04,60 months,F,other,25.57,641xx,23800,F5,15,MO,70000.0,0.0,10.3,26995.0,500.0,26th week,2424.67, ,RENT,10100.0,f
8.79,36 months,C,credit_card,14.99,800xx,5225,C5,20,CO,68000.0,0.0,67.6,21179.0,0.0,52th week,710.08, ,MORTGAGE,10100.0,f
20.07,60 months,D,debt_consolidation,17.57,234xx,25000,D4,36,VA,85000.0,0.0,56.3,43427.0,0.0,9th week,703.83, ,RENT,37400.0,w
15.96,36 months,B,debt_consolidation,12.35,932xx,4000,B4,27,CA,70000.0,0.0,46.3,240866.0,0.0,48th week,398.68, ,MORTGAGE,8600.0,f
11.74,36 months,D,renewable_energy,17.57,070xx,20000,D4,17,NJ,143000.0,0.0,79.6,492338.0,0.0,4th week,273.31, ,MORTGAGE,123300.0,f
32.15,36 months,D,other,15.61,060xx,3600,D1,17,CT,23400.0,0.0,90.4,10866.0,0.0,48th week,488.75, ,RENT,9500.0,w
37.17,36 months,B,debt_consolidation,10.99,370xx,21600,B4,37,TN,90000.0,0.0,53.4,152954.0,0.0,22th week,928.84, ,MORTGAGE,92000.0,w
18.99,36 months,D,debt_consolidation,16.29,912xx,16225,D2,26,CA,50000.0,0.0,23.5,23124.0,0.0,83th week,3300.07,BAT3461431,RENT,58400.0,w
18.21,60 months,C,debt_consolidation,12.69,774xx,30800,C2,14,TX,110000.0,0.0,79.5,211137.0,1282.0,9th week,604.08, ,MORTGAGE,30600.0,w
18.29,36 months,B,credit_card,8.18,950xx,4000,B1,15,CA,50000.0,0.0,48.9,27337.0,85.0,39th week,230.52, ,RENT,11300.0,w
15.69,36 months,C,debt_consolidation,14.64,641xx,9450,C3,16,MO,65000.0,0.0,31.9,66912.0,2605.0,44th week,1048.11,BAT2522922,MORTGAGE,19600.0,f
23.27,60 months,C,credit_card,12.69,173xx,35000,C2,28,PA,98700.0,0.0,76.4,319585.0,0.0,22th week,1756.31, ,MORTGAGE,70400.0,w
23.95,36 months,A,debt_consolidation,8.9,019xx,22850,A5,24,MA,78000.0,3860.0,33.2,280864.0,0.0,44th week,1505.39, ,MORTGAGE,49300.0,f
29.06,36 months,B,debt_consolidation,11.14,212xx,8000,B2,38,MD,50000.0,0.0,49.1,48120.0,0.0,152th week,1445.29, ,RENT,40400.0,w
25.13,36 months,B,credit_card,11.48,914xx,9500,B5,21,CA,50000.0,0.0,43.0,39167.0,0.0,NAth week,0.0,BAT2803411,RENT,31050.0,w
3.56,60 months,B,credit_card,10.49,301xx,12000,B3,30,GA,55000.0,0.0,41.5,9692.0,228.0,48th week,1064.4,BAT4694572,MORTGAGE,7000.0,w
19.4,36 months,A,debt_consolidation,8.19,850xx,13500,A5,11,AZ,36000.0,0.0,33.4,39956.0,0.0,52th week,937.24, ,RENT,11400.0,w
21.71,36 months,D,major_purchase,19.72,330xx,13250,D5,13,FL,55000.0,0.0,71.9,20856.0,0.0,126th week,4132.65, ,RENT,1100.0,f
12.85,60 months,E,debt_consolidation,21.99,911xx,29000,E4,39,CA,92000.0,0.0,69.1,20718.0,0.0,96th week,10398.84,BAT2522922,RENT,27700.0,f
17.27,36 months,B,credit_card,12.99,334xx,6600,B5,27,FL,36000.0,0.0,94.1,95513.0,0.0,87th week,1097.41,BAT5489674,RENT,10700.0,w
10.07,60 months,C,debt_consolidation,16.2,912xx,24000,C4,22,CA,82000.0,0.0,37.7,27222.0,0.0,74th week,4922.83,BAT2575549,RENT,58900.0,f
19.83,36 months,A,debt_consolidation,7.26,331xx,7500,A4,21,FL,62400.0,0.0,75.7,30471.0,0.0,13th week,129.7, ,RENT,20600.0,w
26.97,60 months,B,debt_consolidation,9.17,028xx,18000,B2,24,RI,59000.0,0.0,31.8,209467.0,0.0,9th week,259.52,BAT1586599,MORTGAGE,79500.0,f
31.2,60 months,E,debt_consolidation,19.19,313xx,25000,E3,27,GA,60000.0,0.0,84.5,175233.0,0.0,31th week,2685.2,BAT3726927,MORTGAGE,29100.0,w
17.68,36 months,B,debt_consolidation,10.16,600xx,6075,B1,8,IL,34000.0,0.0,66.5,139554.110791886,213.562221669413,156th week,995.89, ,RENT,32080.5729185358,f
10.16,36 months,B,debt_consolidation,9.99,951xx,28800,B3,31,CA,60000.0,0.0,27.6,38645.0,0.0,9th week,457.8,BAT2252229,RENT,140000.0,f
11.89,36 months,B,debt_consolidation,10.36,087xx,25000,B5,14,NJ,66887.0,0.0,47.2,139554.110791886,213.562221669413,69th week,1537.13, ,MORTGAGE,32080.5729185358,f
21.34,36 months,C,credit_card,15.31,939xx,16750,C2,28,CA,42000.0,0.0,44.5,23465.0,0.0,126th week,4064.84,BAT5849876,OWN,52700.0,f
11.66,36 months,A,credit_card,7.12,760xx,15000,A3,21,TX,85000.0,0.0,41.7,183632.0,0.0,65th week,1089.34,BAT2078974,MORTGAGE,32000.0,f
12.27,36 months,D,credit_card,19.52,189xx,4000,D4,9,PA,45000.0,0.0,56.8,13517.0,0.0,113th week,1192.43,BAT2575549,OWN,6200.0,w
25.34,36 months,B,debt_consolidation,11.53,112xx,8000,B5,26,NY,44000.0,0.0,30.4,29071.0,0.0,26th week,428.77, ,RENT,39000.0,f
12.7,36 months,A,credit_card,7.26,023xx,7000,A4,35,MA,95000.0,0.0,70.3,352980.0,0.0,26th week,235.3, ,MORTGAGE,42400.0,w
13.58,60 months,C,home_improvement,13.33,662xx,16000,C3,20,KS,107100.0,0.0,46.5,43074.0,0.0,39th week,1510.17, ,MORTGAGE,15100.0,w
15.82,60 months,C,debt_consolidation,12.99,214xx,12000,C2,19,MD,100000.0,0.0,7.4,32179.0,0.0,52th week,1435.48, ,RENT,28100.0,w
14.37,36 months,A,debt_consolidation,8.6,957xx,25050,A4,32,CA,70000.0,0.0,43.1,270467.0,0.0,39th week,1311.34,BAT4351734,MORTGAGE,90356.0,f
7.64,36 months,A,debt_consolidation,7.14,757xx,7000,A3,15,TX,65000.0,0.0,14.4,139554.110791886,213.562221669413,39th week,303.15,BAT357701,MORTGAGE,32080.5729185358,f
18.2,36 months,B,credit_card,11.71,117xx,20000,B3,18,NY,43000.0,0.0,84.2,139554.110791886,213.562221669413,22th week,928.7,BAT1942645,RENT,32080.5729185358,f
28.68,36 months,B,debt_consolidation,10.99,113xx,6000,B4,12,NY,60000.0,0.0,20.0,68888.0,0.0,9th week,101.27,BAT1586599,RENT,6300.0,w
26.7,36 months,B,debt_consolidation,8.18,681xx,10000,B1,17,NE,48000.0,0.0,52.5,57406.0,0.0,9th week,132.38,BAT1586599,RENT,12600.0,w
25.18,36 months,C,credit_card,14.47,641xx,12650,C2,26,MO,40753.0,0.0,50.6,116439.0,0.0,48th week,1592.41,BAT224923,MORTGAGE,14700.0,f
32.24,60 months,E,debt_consolidation,21.67,831xx,25000,E5,22,WY,50000.0,0.0,48.8,113060.0,0.0,35th week,3458.7, ,MORTGAGE,22000.0,w
23.45,60 months,D,debt_consolidation,16.99,432xx,25000,D3,40,OH,125000.0,0.0,68.1,89589.0,120.0,83th week,6023.27,BAT3461431,OWN,26800.0,w
6.45,36 months,B,major_purchase,11.99,637xx,12800,B3,26,MO,65500.0,0.0,68.7,246175.0,0.0,104th week,2186.53,BAT1766061,MORTGAGE,6000.0,w
10.33,60 months,B,debt_consolidation,11.99,900xx,24000,B5,31,CA,140000.0,0.0,34.4,477827.0,0.0,61th week,3046.98, ,MORTGAGE,58600.0,w
8.42,36 months,B,credit_card,8.18,211xx,21600,B1,20,MD,140000.0,0.0,37.4,23079.0,0.0,13th week,414.84,BAT1104812,RENT,15300.0,f
15.63,60 months,D,debt_consolidation,17.57,112xx,20000,D2,15,NY,120000.0,0.0,55.1,82097.0,0.0,61th week,3843.16, ,RENT,27600.0,f
25.33,36 months,B,credit_card,9.17,300xx,6000,B1,17,GA,20000.0,0.0,43.2,81269.0,0.0,74th week,616.15,BAT3193689,MORTGAGE,15000.0,f
19.09,36 months,D,debt_consolidation,17.57,797xx,4800,D4,25,TX,84000.0,0.0,66.0,251799.0,0.0,13th week,201.64, ,MORTGAGE,14000.0,f
17.64,60 months,E,home_improvement,17.06,086xx,10000,E4,13,NJ,70000.0,0.0,83.0,139554.110791886,213.562221669413,239th week,4869.24, ,MORTGAGE,32080.5729185358,f
35.56,36 months,D,medical,17.57,432xx,1200,D4,51,OH,59294.0,0.0,79.7,167103.0,0.0,13th week,49.24,BAT2252229,MORTGAGE,34600.0,w
8.84,60 months,F,debt_consolidation,22.45,480xx,20000,F1,16,MI,110000.0,0.0,86.1,207864.0,0.0,NAth week,0.0, ,RENT,50200.0,w
30.19,60 months,C,debt_consolidation,13.99,077xx,12000,C4,25,NJ,90000.0,0.0,43.4,232327.0,0.0,39th week,1231.67, ,RENT,102500.0,w
30.25,60 months,D,credit_card,16.99,279xx,11100,D1,19,NC,82000.0,0.0,97.0,390490.0,0.0,30th week,1063.89,BAT5629144,MORTGAGE,23000.0,f
19.11,36 months,B,credit_card,8.18,902xx,35000,B1,30,CA,107000.0,0.0,84.5,63846.0,66.0,31th week,1513.6,BAT3726927,RENT,30300.0,f
29.87,36 months,B,debt_consolidation,11.53,795xx,6000,B5,21,TX,36000.0,0.0,72.2,66865.0,80.0,31th week,370.94,BAT3726927,MORTGAGE,12900.0,f
34.05,36 months,C,credit_card,12.29,923xx,18000,C1,28,CA,65000.0,0.0,60.9,103828.0,150.0,9th week,407.45,BAT1586599,RENT,26000.0,f
25.2,36 months,B,debt_consolidation,10.99,956xx,16400,B4,16,CA,32813.0,0.0,48.7,26210.0,0.0,26th week,695.22, ,RENT,53800.0,w
21.81,36 months,B,credit_card,13.11,941xx,25000,B4,50,CA,140000.0,0.0,34.9,548511.0,0.0,131th week,5183.44,BAT2428731,MORTGAGE,52500.0,f
32.0,36 months,A,debt_consolidation,7.89,770xx,18500,A5,25,TX,57000.0,0.0,36.9,47558.0,0.0,31th week,820.08, ,MORTGAGE,35800.0,w
8.43,60 months,B,credit_card,13.67,946xx,11200,B5,32,CA,44604.0,0.0,91.0,326677.0,0.0,113th week,2782.79,BAT2575549,RENT,8600.0,f
12.29,60 months,C,home_improvement,13.06,668xx,25000,C2,20,KS,45000.0,78.21,75.0,139554.110791886,213.562221669413,217th week,8755.69,BAT20678,MORTGAGE,32080.5729185358,f
15.08,60 months,B,credit_card,9.99,110xx,24000,B3,38,NY,80000.0,0.0,51.8,32640.0,0.0,13th week,578.32, ,RENT,46100.0,w
14.8,36 months,A,credit_card,6.89,080xx,32000,A3,26,NJ,130000.0,0.0,62.8,196203.0,0.0,NAth week,0.0, ,MORTGAGE,52700.0,w
29.52,36 months,E,debt_consolidation,18.55,541xx,7050,E2,21,WI,23500.0,0.0,45.3,33569.0,0.0,31th week,706.35, ,RENT,13200.0,f
2.79,60 months,D,house,19.05,940xx,26500,D4,16,CA,60000.0,0.0,22.2,535401.0,0.0,78th week,6861.86,BAT1761981,MORTGAGE,34900.0,f
31.31,60 months,C,debt_consolidation,12.69,775xx,10975,C2,30,TX,45000.0,0.0,9.5,43312.0,0.0,31th week,767.14,BAT3726927,MORTGAGE,40300.0,w
9.94,36 months,B,debt_consolidation,12.49,980xx,8000,B5,10,WA,63000.0,0.0,53.0,22828.0,0.0,61th week,983.66,BAT3193689,RENT,16500.0,w
8.03,36 months,B,other,12.49,618xx,9600,B5,8,IL,33329.0,0.0,16.8,2651.0,0.0,61th week,1173.74,BAT2078974,RENT,11600.0,w
16.64,36 months,B,credit_card,10.99,170xx,30000,B2,63,PA,75000.0,0.0,55.2,210416.0,0.0,65th week,3476.12,BAT5489674,MORTGAGE,54200.0,w
4.92,60 months,C,debt_consolidation,14.65,801xx,35000,C5,29,CO,95000.0,0.0,28.2,13901.0,241.0,13th week,1041.58,BAT2252229,RENT,42600.0,f
16.51,36 months,A,debt_consolidation,6.62,706xx,12300,A2,25,LA,28000.0,0.0,16.1,139554.110791886,213.562221669413,96th week,1081.74,BAT1942645,OWN,32080.5729185358,f
13.54,36 months,D,debt_consolidation,16.99,070xx,19000,D3,14,NJ,60000.0,0.0,99.3,77648.0,0.0,31th week,1722.88,BAT3726927,RENT,22500.0,f
21.48,36 months,B,credit_card,9.99,402xx,11975,B1,19,KY,30000.0,0.0,65.8,139554.110791886,213.562221669413,157th week,1928.2,BAT4780022,RENT,32080.5729185358,f
15.85,60 months,D,credit_card,17.57,554xx,24000,D4,23,MN,110000.0,0.0,77.2,223675.0,0.0,13th week,984.49, ,OWN,16600.0,w
29.39,36 months,B,debt_consolidation,9.49,992xx,7800,B2,31,WA,22500.0,0.0,15.5,17200.0,0.0,57th week,674.19,BAT4722912,RENT,37800.0,f
8.0,36 months,A,credit_card,6.49,980xx,12000,A2,26,WA,110000.0,0.0,41.8,258702.0,0.0,48th week,613.69, ,MORTGAGE,35300.0,w
9.67,36 months,A,credit_card,6.89,553xx,10000,A3,20,MN,150000.0,0.0,32.6,434597.0,0.0,9th week,109.56,BAT2252229,MORTGAGE,57200.0,w
14.9,60 months,C,debt_consolidation,14.31,871xx,12000,C4,35,NM,82000.0,0.0,14.0,26153.0,0.0,57th week,1716.56,BAT4722912,MORTGAGE,34300.0,w
10.63,36 months,E,debt_consolidation,21.48,531xx,14700,E2,17,WI,41000.0,0.0,80.8,173149.0,329.0,100th week,4536.02,BAT224923,MORTGAGE,15500.0,f
25.59,60 months,D,home_improvement,15.61,729xx,20000,D1,31,AR,93500.0,0.0,41.1,127291.0,0.0,78th week,4100.76,BAT3193689,MORTGAGE,51000.0,w
